,filenames,labels
0,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person795_virus_1427.jpeg,PNEUMONIA
1,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person788_virus_1419.jpeg,PNEUMONIA
2,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person779_virus_1409.jpeg,PNEUMONIA
3,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person817_bacteria_2728.jpeg,PNEUMONIA
4,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person819_virus_1455.jpeg,PNEUMONIA
5,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person813_virus_1449.jpeg,PNEUMONIA
6,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person803_bacteria_2710.jpeg,PNEUMONIA
7,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person7_bacteria_28.jpeg,PNEUMONIA
8,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person7_bacteria_25.jpeg,PNEUMONIA
9,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person800_bacteria_2706.jpeg,PNEUMONIA
10,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person887_bacteria_2811.jpeg,PNEUMONIA
11,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person848_bacteria_2769.jpeg,PNEUMONIA
12,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person846_bacteria_2766.jpeg,PNEUMONIA
13,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person934_virus_1595.jpeg,PNEUMONIA
14,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person934_bacteria_2859.jpeg,PNEUMONIA
15,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person894_bacteria_2819.jpeg,PNEUMONIA
16,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person895_bacteria_2820.jpeg,PNEUMONIA
17,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person848_virus_1493.jpeg,PNEUMONIA
18,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person904_bacteria_2829.jpeg,PNEUMONIA
19,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person906_virus_1562.jpeg,PNEUMONIA
20,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person907_virus_1563.jpeg,PNEUMONIA
21,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person942_bacteria_2867.jpeg,PNEUMONIA
22,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person888_bacteria_2812.jpeg,PNEUMONIA
23,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person531_virus_1053.jpeg,PNEUMONIA
24,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person55_bacteria_263.jpeg,PNEUMONIA
25,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person576_bacteria_2376.jpeg,PNEUMONIA
26,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person563_bacteria_2338.jpeg,PNEUMONIA
27,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person550_bacteria_2309.jpeg,PNEUMONIA
28,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person585_bacteria_2415.jpeg,PNEUMONIA
29,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person576_virus_1120.jpeg,PNEUMONIA
30,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person564_bacteria_2344.jpeg,PNEUMONIA
31,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person530_bacteria_2231.jpeg,PNEUMONIA
32,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person596_bacteria_2444.jpeg,PNEUMONIA
33,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person558_virus_1098.jpeg,PNEUMONIA
34,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person558_bacteria_2328.jpeg,PNEUMONIA
35,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person544_bacteria_2286.jpeg,PNEUMONIA
36,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person56_bacteria_269.jpeg,PNEUMONIA
37,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person529_bacteria_2228.jpeg,PNEUMONIA
38,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person581_bacteria_2395.jpeg,PNEUMONIA
39,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person5_bacteria_16.jpeg,PNEUMONIA
40,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person590_bacteria_2428.jpeg,PNEUMONIA
41,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person539_bacteria_2270.jpeg,PNEUMONIA
42,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person538_virus_1068.jpeg,PNEUMONIA
43,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person56_bacteria_267.jpeg,PNEUMONIA
44,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person573_bacteria_2369.jpeg,PNEUMONIA
45,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person599_virus_1155.jpeg,PNEUMONIA
46,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person545_bacteria_2287.jpeg,PNEUMONIA
47,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person527_bacteria_2225.jpeg,PNEUMONIA
48,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person536_bacteria_2258.jpeg,PNEUMONIA
49,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person541_virus_1071.jpeg,PNEUMONIA
50,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person525_virus_1046.jpeg,PNEUMONIA
51,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person529_virus_1050.jpeg,PNEUMONIA
52,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person581_bacteria_2392.jpeg,PNEUMONIA
53,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person600_bacteria_2457.jpeg,PNEUMONIA
54,/content/drive/MyDrive/PneumoniaDetection/chest_xray/train/PNEUMONIA/person545_bacteria_2288.jpeg,PNEUMONIA
