,filenames,labels
0,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-146.jpg,Acne and Rosacea Photos
1,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-23.jpg,Acne and Rosacea Photos
2,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-127.jpg,Acne and Rosacea Photos
3,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-131.jpg,Acne and Rosacea Photos
4,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-112.jpg,Acne and Rosacea Photos
5,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-147.jpg,Acne and Rosacea Photos
6,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-45.jpg,Acne and Rosacea Photos
7,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-122.jpg,Acne and Rosacea Photos
8,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07VascularFace0120.jpg,Acne and Rosacea Photos
9,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07rosaceaTreated091806OK.jpg,Acne and Rosacea Photos
10,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-4.jpg,Acne and Rosacea Photos
11,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-108.jpg,Acne and Rosacea Photos
12,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-123.jpg,Acne and Rosacea Photos
13,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-32.jpg,Acne and Rosacea Photos
14,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-48.jpg,Acne and Rosacea Photos
15,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-52.jpg,Acne and Rosacea Photos
16,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/Forest-2.jpg,Acne and Rosacea Photos
17,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07RosaceaOK0828063.jpg,Acne and Rosacea Photos
18,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-26.jpg,Acne and Rosacea Photos
19,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/08PerioralDerm0203.jpg,Acne and Rosacea Photos
20,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07sebDerem1101052.jpg,Acne and Rosacea Photos
21,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07SteroidRosacea.jpg,Acne and Rosacea Photos
22,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-38.jpg,Acne and Rosacea Photos
23,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-136.jpg,Acne and Rosacea Photos
24,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07RosaceaK02165.jpg,Acne and Rosacea Photos
25,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-56.jpg,Acne and Rosacea Photos
26,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-58.jpg,Acne and Rosacea Photos
27,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-89.jpg,Acne and Rosacea Photos
28,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-closed-comedo-33.jpg,Acne and Rosacea Photos
29,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/acne-cystic-37.jpg,Acne and Rosacea Photos
30,/content/drive/MyDrive/SkinDiseaseClassifier/train/Acne and Rosacea Photos/07PerlecheAccutane.jpg,Acne and Rosacea Photos
